название вакансии,компания,зарплата,ссылка
Программист 1С,ООО Веб-Киборг,100 000 – 150 000 ₽ на руки,https://tomsk.hh.ru/vacancy/103184506?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend Developer (.NET),TravelLine,до 300 000 ₽ на руки,https://tomsk.hh.ru/vacancy/101457201?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик С++ Junior,ООО Интрайс,от 50 000 ₽ на руки,https://tomsk.hh.ru/vacancy/101820634?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle NestJS - разработчик (backend),ilink,,https://tomsk.hh.ru/vacancy/102783665?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Flutter-разработчик,ООО СибТехПроект,,https://tomsk.hh.ru/vacancy/103255035?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист Python (Middle),ООО Инфоматикс,от 90 000 ₽ на руки,https://tomsk.hh.ru/vacancy/102238028?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Junior PHP-разработчик,Loymax,от 60 000 ₽ на руки,https://tomsk.hh.ru/vacancy/103146805?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий инженер-программист,ООО Encore,,https://tomsk.hh.ru/vacancy/96528134?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист (Микроконтроллеры),ЭЛЕКТРОЩИТ САМАРА,,https://tomsk.hh.ru/vacancy/100789465?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle PHP fullstack разработчик,BlaBlaCar,,https://tomsk.hh.ru/vacancy/103123483?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Головное подразделение Сибагро,138 000 – 175 000 ₽ на руки,https://tomsk.hh.ru/vacancy/92129406?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист Backend Laravel PHP (Middle/Senior),Компания «ФИНТЕРРА»,,https://tomsk.hh.ru/vacancy/103216919?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист АСУ ТП,ООО Элинтех,55 000 – 90 000 ₽ на руки,https://tomsk.hh.ru/vacancy/103164475?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"React Frontend Web Developer/разработчик в офис (опыт 0+), г. Томск",ООО СистемоСинтез,50 000 – 70 000 ₽ на руки,https://tomsk.hh.ru/vacancy/103135616?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист ПЦН,ООО ЧОП Барс-Лидер,от 45 000 ₽ на руки,https://tomsk.hh.ru/vacancy/95676831?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Техник-программист НТЦ ""Цифровая медицина и киберфизика""",СибГМУ,80 000 – 100 000 ₽ на руки,https://tomsk.hh.ru/vacancy/95064515?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
.NET Разработчик,Т-Банк,,https://tomsk.hh.ru/vacancy/91309389?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик 1С,ООО ЛЭМЗ-Т,,https://tomsk.hh.ru/vacancy/100294187?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик back-end (python),АО ИнфоТеКС,,https://tomsk.hh.ru/vacancy/101320432?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle Developer C# .NET,VILAVI,,https://tomsk.hh.ru/vacancy/103052637?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend-разработчик Python,Газпром нефть,,https://tomsk.hh.ru/vacancy/103214520?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP разработчик (Angular),Hunt Expert,,https://tomsk.hh.ru/vacancy/103155245?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-разработчик,ООО ЛЭМЗ-Т,от 60 000 ₽ на руки,https://tomsk.hh.ru/vacancy/95877891?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"React Frontend Web Developer/разработчик в офис (опыт 3+), г. Томск",ООО СистемоСинтез,120 000 – 170 000 ₽ на руки,https://tomsk.hh.ru/vacancy/103136124?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle PHP fullstack разработчик,Hunt Expert,,https://tomsk.hh.ru/vacancy/102277181?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Junior+ Frontend Developer (Vue 3),Аплинк,от 40 000 ₽ на руки,https://tomsk.hh.ru/vacancy/103119572?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Java-разработчик (Middle),VL.RU,,https://tomsk.hh.ru/vacancy/103265392?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Flutter-разработчик (Middle+ / Senior),Userstory,от 200 000 ₽ на руки,https://tomsk.hh.ru/vacancy/103180359?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист микроконтроллеров Embedded (г. Томск),АО ПО Муроммашзавод,до 120 000 ₽ до вычета налогов,https://tomsk.hh.ru/vacancy/103005636?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик Android,Т-Банк,,https://tomsk.hh.ru/vacancy/76372029?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
